job_title,job_url,salary,company_name,company_sector,company_logo_url,location,contract_type,remote,publication_date
(Senior) Data Engineer,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/senior-data-engineer_bordeaux?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=d4e0b922-2d61-4846-bace-4678b8560113,Salaire : Non spécifié,Mirakl,"SaaS / Cloud Services, E-commerce",https://cdn-images.welcometothejungle.com/rqahF_bZcr2rQYU26q-CCjfGJLxEKL68hn_Waex4cco/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby85Njc0LzE0ODAwNy81MjgzOGYxZC1lNGI4LTQ3OTktOWVlZS1lODJmODFmODQ2YjgucG5n,Bordeaux,CDI,Télétravail fréquent,2024-06-28T00:21:15Z
Data Engineer Senior - Spark/ Databricks,https://www.welcometothejungle.com/fr/companies/pulsover/jobs/data-engineer-senior-spark-databricks_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=146b7235-61d1-4d6d-a681-2836f1f93ed9,Salaire : Non spécifié,Pulsover,"Intelligence artificielle / Machine Learning, IT / Digital, SaaS / Cloud Services, Big Data",https://cdn-images.welcometothejungle.com/8AvM6emq1jLc_YyaewgGU50ZaTxEeRvAsWVzTN6MfFM/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby84ODQwLzE2Njg0Mi85YmI5YTNhMC0yY2U4LTRiNWYtYThjNS1jZDAzZGI5OTQ3N2QuanBn,Paris,CDI,Télétravail fréquent,2024-06-05T13:57:18Z
Senior Data Engineer,https://www.welcometothejungle.com/fr/companies/modeo/jobs/senior-data-engineer_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=69879cce-d9a6-47b2-ba27-1fe8099860e0,Salaire : 50K à 70K €,Modeo,"Intelligence artificielle / Machine Learning, SaaS / Cloud Services, Big Data",https://cdn-images.welcometothejungle.com/AhoBZjho60C2Pw6TWBXbFI7xGKij1VjuF245ehUIsmE/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby84MTczLzE3MDE0My83ZGQ4MTVkMS1iYjY5LTQ3MWYtODhlMS1iMjkyNTgzZWY2YmIuanBn,Paris,CDI,Télétravail fréquent,2024-06-24T14:14:33Z
Senior Data Engineer,https://www.welcometothejungle.com/fr/companies/akeneo/jobs/senior-data-engineer?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=c576295d-6a96-45ae-becc-9bad15e1531c,Salaire : Non spécifié,Akeneo,E-commerce,https://cdn-images.welcometothejungle.com/zJKbceRje9fLm7q4Zfu7t6BhMVG61bAdJzj7pNKS77o/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8zMzU3LzE0ODAzNC84Zjc2Y2I0OS1jZDU5LTRhYjctYjlhMi1iNjFiNzc3ZGUxNmIucG5n,"Nantes, , Paris",CDI,Télétravail fréquent,2024-07-02T09:09:45Z
Senior data engineer H/F,https://www.welcometothejungle.com/fr/companies/invivo-digital-factory/jobs/senior-data-engineer-h-f_courbevoie_IDF_KRePbVN?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=d7c7cdfc-6b73-4cbe-885a-382f94defc0f,Salaire : Non spécifié,InVivo Digital Factory,"IT / Digital, E-commerce",https://cdn-images.welcometothejungle.com/W5ARYTIsMj_RsNP5lTPQHMCt86n78gUSc63Zj9S5cOI/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby81OTE4LzE1NjQ1Ny82NDBmMjE3OC1hNmYwLTRkYTMtODNmMi1hMWViNzEzYTI5ZGMucG5n,Courbevoie,CDI,Télétravail fréquent,2024-06-19T07:00:55Z
Senior Data Engineer / Data Architect (F/H),https://www.welcometothejungle.com/fr/companies/solution-bi/jobs/senior-data-engineer-data-architect-f-h_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=efd6e786-5d34-4b9f-95d5-980dfe4b3c4c,Salaire : Non spécifié,Solution BI,"IT / Digital, Transformation, Finance",https://cdn-images.welcometothejungle.com/OfV2IBeKsRo7ijXLzdBx8u4tHXCxwwqOOeyi6f1L7aA/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby84ODk3LzE2MDAyNi9lOTk3M2ViNi1kMjdhLTRhODItODEyZi03M2Y4M2NhNWMwYWMuanBn,Paris,CDI,Télétravail fréquent,2024-07-03T07:59:54Z
Senior Data Engineer F/H,https://www.welcometothejungle.com/fr/companies/atawiz/jobs/senior-data-engineer-f-h?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=6fa88653-c61c-46e4-bfab-c6c6a17821a2,Salaire : 50K à 65K €,Atawiz,"Application mobile, Logiciels, SaaS / Cloud Services, Big Data",https://cdn-images.welcometothejungle.com/DO-GdfjlbHopl3W4hkLXO02MXwKQwmLQSh07dX_pzaw/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8yMDM1LzE2NTEwMC84NTU4NThjMS0xMjY2LTQ1YmItOWE3ZC00Njc0MTM0NWJmZmEucG5n,Paris,CDI,Télétravail fréquent,2024-06-21T07:54:32Z
SENIOR DATA ENGINEER AWS (F/H),https://www.welcometothejungle.com/fr/companies/groupe-micropole/jobs/senior-data-engineer-aws-f-h_villeurbanne?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=03504da5-51af-411a-823b-e40f52e81649,Salaire : Non spécifié,Micropole,IT / Digital,https://cdn-images.welcometothejungle.com/LtevcJNGVjbkbivvZBwg8v1QUtJz-TW4dsGWX0voK4E/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8yNzkxLzE1NTgwMi85ZTQ0NTgzMy0wMGE3LTQ2YjctOGM5Zi1mMmY0MGU3MzI0MjAucG5n,Villeurbanne,CDI,Télétravail non autorisé,2024-06-24T23:59:29Z
(Senior) Data Engineer,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/senior-data-engineer_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=07595e4c-0c62-47af-bedb-2877c0e00ca5,Salaire : Non spécifié,Mirakl,"SaaS / Cloud Services, E-commerce",https://cdn-images.welcometothejungle.com/rqahF_bZcr2rQYU26q-CCjfGJLxEKL68hn_Waex4cco/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby85Njc0LzE0ODAwNy81MjgzOGYxZC1lNGI4LTQ3OTktOWVlZS1lODJmODFmODQ2YjgucG5n,Paris,CDI,Télétravail fréquent,2024-06-28T00:21:16Z
Senior Data Engineer 🇪🇺,https://www.welcometothejungle.com/fr/companies/pennylane/jobs/senior-data-engineer_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=31a59bdf-4204-4d44-8100-bcb9b29d37f7,Salaire : Non spécifié,Pennylane,"Expertise comptable, FinTech / InsurTech, SaaS / Cloud Services",https://cdn-images.welcometothejungle.com/kqVQBwJ4h7006LV40r42J3CwiC1AGll3YERXG2SR17g/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8wNTk4LzE1OTcxNS8xOTQ2NjgxNy0zMTgwLTQzZjgtOTM0MC00MWJiNGE2YTIwNmQucG5n,Paris,CDI,Télétravail total,2024-06-26T22:46:43Z
SENIOR DATA ENGINEER AWS (F/H),https://www.welcometothejungle.com/fr/companies/groupe-micropole/jobs/senior-data-engineer-aws-f-h_levallois-perret_MICRO_5Akw3LX?q=63f725260f0b5664263b6c6b8862ee38&o=6d475aa0-425a-4b7b-8391-372ebd1adb90,Salaire : Non spécifié,Micropole,IT / Digital,https://cdn-images.welcometothejungle.com/LtevcJNGVjbkbivvZBwg8v1QUtJz-TW4dsGWX0voK4E/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8yNzkxLzE1NTgwMi85ZTQ0NTgzMy0wMGE3LTQ2YjctOGM5Zi1mMmY0MGU3MzI0MjAucG5n,Levallois-Perret,CDI,Télétravail non autorisé,2024-05-16T00:23:30Z
Senior Full Stack Data Engineer,https://www.welcometothejungle.com/fr/companies/skillup-co/jobs/senior-data-engineer_paris?q=63f725260f0b5664263b6c6b8862ee38&o=4a3f7001-abd4-40a5-b036-d70cb7ba51a6,Salaire : Non spécifié,Skillup.co,"Logiciels, SaaS / Cloud Services, Formation",https://cdn-images.welcometothejungle.com/bRIArncyhJZ8y0tcxuwPQSicjytihZO2pjVZwOlXWWc/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby82NDU5LzE0OTcyNy8yZTg5MjVjNi1lNTJjLTRjYjQtOTM5Zi04MTEzZTk4OGUyNDMuanBn,Paris,CDI,Télétravail fréquent,2024-07-01T16:18:16Z
Senior BW Data Engineer - SAP Analytics (f/m/d),https://www.welcometothejungle.com/fr/companies/decathlon-digital/jobs/senior-bw-data-engineer-sap-analytics-f-m-d_paris?q=63f725260f0b5664263b6c6b8862ee38&o=811d077a-8b4f-4b0c-8cdf-6764a3b93d64,Salaire : Non spécifié,Decathlon Digital,"Application mobile, Logiciels, Cybersécurité, Sport, E-commerce, Grande distribution",https://cdn-images.welcometothejungle.com/c6x3vd7MdE-ZqfTX4zodKASEZy0OuIs9BGVEejCFpwI/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby85MzQ4LzE2MzQ2NS80NWIzYjE3OC03ZjAxLTRlMmEtOTRiYi1kMjM4NjQxYmQxZmIucG5n,Paris,CDI,Télétravail fréquent,2024-05-19T23:42:33Z
Senior Data Engineer,https://www.welcometothejungle.com/fr/companies/lenstra/jobs/data-engineer-lead-data-platforms_paris?q=63f725260f0b5664263b6c6b8862ee38&o=4172ba25-0ee6-4a14-9c05-c16d71a56c2a,Salaire : 65K à 75K €,Lenstra,"Logiciels, Intelligence artificielle / Machine Learning, SaaS / Cloud Services",https://cdn-images.welcometothejungle.com/F782AilVlWZLCvu9DwJD-dMbjayOLliM12QnhncLF_U/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby81NTE2LzE2ODYzMS9kNzBhZDM0Yi1iOWM5LTRkOWItYjdlYS1kNDJiZTY5ZDlkMmIucG5n,Paris,CDI,Télétravail fréquent,2024-06-18T11:38:41Z
